,Unnamed: 0,STATION,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
0,8162,USR0000NSAR,2020-03-01,,24.0,8.0,SAFE
1,8163,USR0000NSAR,2020-03-02,,41.0,16.0,MODERATE
2,8164,USR0000NSAR,2020-03-03,,48.0,6.0,SAFE
3,8165,USR0000NSAR,2020-03-04,,41.0,10.0,MODERATE
4,8166,USR0000NSAR,2020-03-05,,38.0,12.0,MODERATE
5,8167,USR0000NSAR,2020-03-06,,36.0,19.0,RISKY
6,8168,USR0000NSAR,2020-03-07,,31.0,15.0,MODERATE
7,8169,USR0000NSAR,2020-03-08,,39.0,16.0,MODERATE
8,8170,USR0000NSAR,2020-03-09,,55.0,20.0,RISKY
9,8171,USR0000NSAR,2020-03-10,,52.0,23.0,RISKY
10,8172,USR0000NSAR,2020-03-11,,37.0,28.0,RISKY
11,8173,USR0000NSAR,2020-03-12,,41.0,38.0,RISKY
12,8174,USR0000NSAR,2020-03-13,,44.0,44.0,RISKY
13,8175,USR0000NSAR,2020-03-14,,40.0,43.0,RISKY
14,8176,USR0000NSAR,2020-03-15,,34.0,44.0,RISKY
15,8177,USR0000NSAR,2020-03-16,,32.0,47.0,RISKY
16,8178,USR0000NSAR,2020-03-17,,38.0,48.0,RISKY
17,8179,USR0000NSAR,2020-03-18,,40.0,51.0,RISKY
18,8180,USR0000NSAR,2020-03-19,,42.0,55.0,RISKY
19,8181,USR0000NSAR,2020-03-20,,50.0,58.0,RISKY
20,8182,USR0000NSAR,2020-03-21,,36.0,63.0,RISKY
21,8183,USR0000NSAR,2020-03-22,,29.0,62.0,RISKY
22,8184,USR0000NSAR,2020-03-23,,31.0,63.0,RISKY
23,8185,USR0000NSAR,2020-03-24,,35.0,68.0,RISKY
24,8186,USR0000NSAR,2020-03-25,,37.0,67.0,RISKY
25,8187,USR0000NSAR,2020-03-26,,45.0,71.0,RISKY
26,8188,USR0000NSAR,2020-03-27,,50.0,70.0,RISKY
27,8189,USR0000NSAR,2020-03-28,,40.0,69.0,RISKY
28,8190,USR0000NSAR,2020-03-29,,44.0,67.0,RISKY
29,8191,USR0000NSAR,2020-03-30,,41.0,63.0,RISKY
30,8192,USR0000NSAR,2020-03-31,,41.0,60.0,RISKY
31,8193,USR0000NSAR,2020-04-01,,42.0,58.0,RISKY
32,8194,USR0000NSAR,2020-04-02,,42.0,59.0,RISKY
33,8195,USR0000NSAR,2020-04-03,,45.0,57.0,RISKY
34,8196,USR0000NSAR,2020-04-04,,53.0,56.0,RISKY
35,8197,USR0000NSAR,2020-04-05,,53.0,55.0,RISKY
36,8198,USR0000NSAR,2020-04-06,,49.0,53.0,RISKY
37,8199,USR0000NSAR,2020-04-07,,53.0,53.0,RISKY
38,8200,USR0000NSAR,2020-04-08,,49.0,55.0,RISKY
39,8201,USR0000NSAR,2020-04-09,,43.0,51.0,RISKY
40,8202,USR0000NSAR,2020-04-10,,40.0,48.0,RISKY
41,8203,USR0000NSAR,2020-04-11,,40.0,46.0,RISKY
42,8204,USR0000NSAR,2020-04-12,,48.0,42.0,RISKY
43,8205,USR0000NSAR,2020-04-13,,56.0,38.0,RISKY
44,8206,USR0000NSAR,2020-04-14,,44.0,35.0,RISKY
45,8207,USR0000NSAR,2020-04-15,,40.0,34.0,RISKY
46,8208,USR0000NSAR,2020-04-16,,36.0,33.0,RISKY
47,8209,USR0000NSAR,2020-04-17,,38.0,34.0,RISKY
48,8210,USR0000NSAR,2020-04-18,,39.0,32.0,RISKY
49,8211,USR0000NSAR,2020-04-19,,48.0,31.0,RISKY
50,8212,USR0000NSAR,2020-04-20,,43.0,30.0,RISKY
51,8213,USR0000NSAR,2020-04-21,,38.0,28.0,RISKY
52,8214,USR0000NSAR,2020-04-22,,36.0,27.0,RISKY
53,8215,USR0000NSAR,2020-04-23,,42.0,26.0,RISKY
54,8216,USR0000NSAR,2020-04-24,,45.0,23.0,RISKY
55,8217,USR0000NSAR,2020-04-25,,54.0,23.0,RISKY
56,8218,USR0000NSAR,2020-04-26,,45.0,23.0,RISKY
57,8219,USR0000NSAR,2020-04-27,,40.0,21.0,RISKY
58,8220,USR0000NSAR,2020-04-28,,49.0,19.0,RISKY
59,8221,USR0000NSAR,2020-04-29,,53.0,19.0,RISKY
60,8222,USR0000NSAR,2020-04-30,,50.0,19.0,RISKY
61,8223,USR0000NSAR,2020-05-01,,56.0,18.0,RISKY
62,8224,USR0000NSAR,2020-05-02,,57.0,15.0,MODERATE
63,8225,USR0000NSAR,2020-05-03,,65.0,15.0,MODERATE
64,8226,USR0000NSAR,2020-05-04,,52.0,14.0,MODERATE
65,8227,USR0000NSAR,2020-05-05,,48.0,13.0,MODERATE
66,8228,USR0000NSAR,2020-05-06,,49.0,13.0,MODERATE
67,8229,USR0000NSAR,2020-05-07,,52.0,14.0,MODERATE
68,8230,USR0000NSAR,2020-05-08,,45.0,12.0,MODERATE
69,8231,USR0000NSAR,2020-05-09,,36.0,11.0,MODERATE
70,8232,USR0000NSAR,2020-05-10,,45.0,11.0,MODERATE
71,8233,USR0000NSAR,2020-05-11,,44.0,10.0,MODERATE
72,8234,USR0000NSAR,2020-05-12,,44.0,10.0,MODERATE
73,8235,USR0000NSAR,2020-05-13,,47.0,10.0,MODERATE
74,8236,USR0000NSAR,2020-05-14,,55.0,9.0,MODERATE
75,8237,USR0000NSAR,2020-05-15,,65.0,8.0,SAFE
76,8238,USR0000NSAR,2020-05-16,,62.0,7.0,SAFE
77,8239,USR0000NSAR,2020-05-17,,61.0,7.0,SAFE
